C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 10\ACQ_3.7\EFFORT10_SBT_AND_POSTEXTUBATION_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
0.218567	25.7599	13.8301	-0.146194	-25.5414	
0.26638	25.8148	13.8099	-0.144313	-25.5484	
0.211736	25.8697	13.8301	-0.141805	-25.658	
0.198075	25.9452	13.8166	-0.13867	-25.7471	
0.286872	26.0069	13.8166	-0.135849	-25.72	
0.218567	26.0069	13.8301	-0.133027	-25.7883	
0.170753	26.0275	13.7964	-0.131773	-25.8567	
0.280041	25.9795	13.7964	-0.129892	-25.6994	
0.239058	25.8903	13.7964	-0.129579	-25.6512	
0.184414	25.8285	13.7694	-0.129265	-25.6441	
0.327855	25.7599	13.7829	-0.129579	-25.4321	
0.307363	25.6708	13.8099	-0.130206	-25.3634	
0.12294	25.5198	13.7627	-0.13146	-25.3969	
0.225397	25.465	13.7492	-0.131773	-25.2396	
0.307363	25.3483	13.7762	-0.132087	-25.041	
0.198075	25.1974	13.8233	-0.131146	-24.9993	
0.334685	25.1151	13.7694	-0.1324	-24.7804	
0.314194	24.9299	13.7762	-0.1324	-24.6157	
0.232228	24.8613	13.7492	-0.133341	-24.629	
0.232228	24.7995	13.7627	-0.133654	-24.5673	
0.26638	24.6555	13.7492	-0.133027	-24.3891	
0.300533	24.6006	13.7694	-0.132714	-24.3	
0.25955	24.4085	13.7425	-0.13146	-24.1489	
0.25955	24.3536	13.7694	-0.130833	-24.0941	
0.280041	24.2713	13.7762	-0.130833	-23.9912	
0.198075	24.1615	13.7829	-0.130519	-23.9635	
0.184414	24.0655	13.8031	-0.129265	-23.8811	
0.232228	23.9969	13.7627	-0.127698	-23.7647	
0.232228	23.9214	13.7829	-0.12613	-23.6892	
0.184414	23.7979	13.7627	-0.124563	-23.6135	
0.245889	23.7362	13.8166	-0.124563	-23.4903	
0.334685	23.6402	13.8435	-0.124563	-23.3055	
0.314194	23.5373	13.7964	-0.123309	-23.2231	
0.0204823	23.4686	13.7897	-0.123622	-23.4482	
0.157092	23.3863	13.8301	-0.122682	-23.2292	
0.204906	23.304	13.8031	-0.121114	-23.0991	
0.211736	23.2834	13.8435	-0.120174	-23.0717	
0.109279	23.1256	13.8099	-0.11986	-23.0164	
0.225397	23.0639	13.8233	-0.119233	-22.8385	
0.25955	23.0296	13.8301	-0.118293	-22.77	
0.150262	22.9404	13.8974	-0.117352	-22.7902	
0.163923	22.8787	13.8974	-0.116098	-22.7148	
0.143431	22.8307	13.8705	-0.114217	-22.6872	
0.232228	22.7552	13.8907	-0.112963	-22.523	
0.177584	22.6797	13.8301	-0.111709	-22.5021	
0.225397	22.6454	13.8772	-0.110769	-22.42	
0.232228	22.57	13.8772	-0.109828	-22.3377	
0.157092	22.5082	13.8772	-0.109201	-22.3511	
0.136601	22.5288	13.8839	-0.108261	-22.3922	
0.25955	22.5219	13.8907	-0.107947	-22.2624	
0.211736	22.4671	13.9109	-0.108261	-22.2553	
0.0751263	22.419	13.9109	-0.107634	-22.3439	
0.177584	22.419	13.9311	-0.108261	-22.2415	
0.0682958	22.4465	13.9378	-0.106066	-22.3782	
0.150262	22.4259	13.9648	-0.104812	-22.2756	
0.116109	22.4671	13.958	-0.104812	-22.351	
0.198075	22.4602	13.9985	-0.103872	-22.2621	
0.143431	22.4465	13.9648	-0.102304	-22.3031	
0.184414	22.4945	13.9513	-0.100423	-22.3101	
0.143431	22.57	13.9985	-0.0982289	-22.4265	
0.204906	22.6454	14.0187	-0.0966614	-22.4405	
0.150262	22.6591	14.0254	-0.0935264	-22.5089	
0.143431	22.714	14.0052	-0.0910184	-22.5706	
0.157092	22.7483	14.0187	-0.0891374	-22.5912	
0.157092	22.7483	14.0389	-0.0872564	-22.5912	
0.102448	22.7826	14.0389	-0.0853754	-22.6802	
0.150262	22.8032	14.0995	-0.0850619	-22.6529	
0.116109	22.8375	14.0995	-0.0838079	-22.7214	
0.184414	22.8032	14.1197	-0.0841214	-22.6188	
0.211736	22.7895	14.1197	-0.0841214	-22.5778	
0.102448	22.7964	14.0927	-0.0847484	-22.6939	
0.109279	22.7689	14.113	-0.0866294	-22.6596	
0.150262	22.6866	14.1668	-0.0869429	-22.5363	
0.177584	22.7072	14.1197	-0.0875699	-22.5296	
0.245889	22.6729	14.1466	-0.0888239	-22.427	
0.204906	22.6248	14.1466	-0.0900779	-22.4199	
0.0682958	22.618	14.2072	-0.0922724	-22.5497	
0.116109	22.5357	14.2072	-0.0925859	-22.4196	
0.26638	22.4945	14.2005	-0.0941534	-22.2281	
0.0614653	22.4122	14.214	-0.0957209	-22.3507	
0.191245	22.3573	14.2544	-0.0966614	-22.1661	
0.177584	22.2818	14.2409	-0.0982289	-22.1043	
0.177584	22.2818	14.2881	-0.0997964	-22.1043	
0.184414	22.1789	14.2409	-0.101677	-21.9945	
0.157092	22.1241	14.2746	-0.102618	-21.967	
0.0956178	22.0143	14.2275	-0.103872	-21.9187	
0.218567	21.9594	14.2544	-0.104499	-21.7408	
0.26638	21.8565	14.2611	-0.104812	-21.5901	
0.12977	21.8565	14.3083	-0.104185	-21.7267	
0.116109	21.8359	14.3352	-0.102931	-21.7198	
0.0682958	21.8496	14.3015	-0.102618	-21.7814	
0.191245	21.7742	14.315	-0.10105	-21.5829	
0.109279	21.8702	14.2746	-0.0991694	-21.7609	
0.136601	21.8016	14.315	-0.0976019	-21.665	
0.177584	21.8634	14.3285	-0.0938399	-21.6858	
0.143431	21.8016	14.3285	-0.0919589	-21.6582	
0.116109	21.7605	14.3083	-0.0897644	-21.6444	
0.109279	21.7262	14.3689	-0.0872564	-21.6169	
0.273211	21.7673	14.3622	-0.0860024	-21.4941	
0.204906	21.7056	14.3352	-0.0844349	-21.5007	
0.102448	21.5684	14.3891	-0.0841214	-21.4659	
0.0887873	21.589	14.3487	-0.0834944	-21.5002	
0.12977	21.5752	14.3958	-0.0828674	-21.4455	
0.150262	21.5478	14.3824	-0.0825539	-21.3975	
0.0614653	21.5547	14.3958	-0.0816134	-21.4932	
0.0478043	21.4518	14.4026	-0.0794189	-21.404	
0.116109	21.3694	14.4228	-0.0769109	-21.2533	
-0.0136702	21.294	14.3824	-0.0744029	-21.3076	
0.0956178	21.1293	14.4026	-0.0706409	-21.0337	
0.0887873	21.0264	14.4632	-0.0671924	-20.9376	
0.0546348	20.9372	14.4363	-0.0621763	-20.8826	
0.0682958	20.8961	14.3756	-0.0581008	-20.8278	
0.225397	20.8412	14.3756	-0.0552793	-20.6158	
0.239058	20.6628	14.4295	-0.0540253	-20.4238	
0.0887873	20.6834	14.3891	-0.0527713	-20.5946	
0.143431	20.6011	14.3958	-0.0524578	-20.4577	
0.143431	20.5531	14.342	-0.0543388	-20.4096	
0.0751263	20.5737	14.3689	-0.0543388	-20.4985	
0.198075	20.4913	14.315	-0.0559063	-20.2933	
0.0409738	20.4776	14.315	-0.0581008	-20.4366	
0.116109	20.4639	14.2881	-0.0593548	-20.3478	
0.198075	20.4708	14.2881	-0.0615493	-20.2727	
0.0956178	20.4776	14.2746	-0.0618628	-20.382	
-0.0136702	20.5051	14.2679	-0.0621763	-20.5187	
0.0956178	20.4502	14.2881	-0.0618628	-20.3546	
0.163923	20.4776	14.2881	-0.0606088	-20.3137	
0.0136518	20.5462	14.2477	-0.0596683	-20.5326	
0.170753	20.5599	14.2746	-0.0571603	-20.3892	
0.00682132	20.5599	14.2746	-0.0559063	-20.5531	
0.0819568	20.6011	14.2611	-0.0533983	-20.5191	
0.109279	20.6285	14.2409	-0.0512038	-20.5193	
0.0136518	20.6766	14.2544	-0.0483823	-20.6629	
0.0956178	20.6766	14.2207	-0.0465013	-20.5809	
-9.18019E-006	20.7314	14.2207	-0.0443068	-20.7314	
-0.0205007	20.7657	14.2072	-0.0411718	-20.7862	
0.0682958	20.8755	14.1601	-0.0389773	-20.8072	
0.12977	20.8755	14.2072	-0.0367828	-20.7457	
0.0614653	20.9029	14.2005	-0.0339613	-20.8415	
0.0341433	21.0676	14.2072	-0.0308263	-21.0334	
0.12294	21.1156	14.1736	-0.0286318	-20.9927	
0.0409738	21.1568	14.1399	-0.0261238	-21.1158	
-0.109297	21.2185	14.1534	-0.0236158	-21.3278	
0.0478043	21.2871	14.1264	-0.0211078	-21.2393	
-9.18019E-006	21.3969	14.1197	-0.0189133	-21.3969	
-0.00683968	21.4861	14.113	-0.0173458	-21.4929	
0.0136518	21.5752	14.1197	-0.0154648	-21.5616	
-9.18019E-006	21.6576	14.1197	-0.0138973	-21.6576	
-9.18019E-006	21.781	14.0793	-0.0132703	-21.7811	
0.163923	21.8359	14.0927	-0.0126433	-21.672	
0.0478043	21.9388	14.1062	-0.0120163	-21.891	
-0.109297	22.0349	14.0725	-0.0117028	-22.1442	
-0.0341617	22.1515	14.0523	-0.0120163	-22.1857	
0.0136518	22.2475	14.0793	-0.0110758	-22.2339	
0.0341433	22.3024	14.0321	-0.0104488	-22.2683	
0.12294	22.4602	14.0523	-0.0110758	-22.3373	
-0.0136702	22.6386	14.0254	-0.0104488	-22.6522	
0.102448	22.6866	13.9985	-0.00982181	-22.5841	
0.157092	22.8581	14.0321	-0.0107623	-22.701	
0.00682132	22.9679	14.0187	-0.0117028	-22.961	
-0.00683968	23.0982	13.9782	-0.0107623	-23.105	
-0.0205007	23.2491	14.0456	-0.0117028	-23.2696	
0.0409738	23.2766	13.9985	-0.0129568	-23.2356	
0.0751263	23.4275	14.0254	-0.0142108	-23.3524	
0.0614653	23.5235	13.9782	-0.0142108	-23.4621	
-0.0136702	23.647	13.9917	-0.0148378	-23.6607	
-0.0136702	23.6745	13.9985	-0.0145243	-23.6881	
0.0341433	23.7568	13.9782	-0.0151513	-23.7226	
0.00682132	23.7911	13.9985	-0.0145243	-23.7843	
0.0887873	23.7636	13.9311	-0.0132703	-23.6748	
0.0887873	23.8322	14.0052	-0.0123298	-23.7435	
0.0273128	23.8117	13.9917	-0.0120163	-23.7843	
0.0546348	23.7774	13.9917	-0.0113893	-23.7227	
0.0751263	23.7362	13.9513	-0.00950831	-23.6611	
-0.129789	23.6539	13.9648	-0.00888131	-23.7837	
-0.109297	23.5784	13.9446	-0.00888131	-23.6877	
-0.0341617	23.4412	13.9378	-0.00668681	-23.4754	
-0.0683142	23.3246	13.8907	-0.00668681	-23.3929	
-0.0614837	23.2148	13.8907	-0.00637331	-23.2763	
-0.122958	23.0502	13.8637	-0.00449231	-23.1731	
-0.184433	22.9404	13.8705	-0.00292481	-23.1248	
-0.109297	22.7346	13.8705	-0.000730307	-22.8439	
-0.116128	22.5768	13.8435	0.0020912	-22.693	
-0.170772	22.4053	13.8301	0.0058532	-22.5761	
-0.204924	22.3093	13.8166	0.0102422	-22.5142	
-0.129789	22.1652	13.8233	0.0165122	-22.295	
-0.0888057	22.0074	13.7897	0.0230957	-22.0962	
-0.239077	21.8977	13.8368	0.0303062	-22.1367	
-0.170772	21.6781	13.8637	0.0378302	-21.8489	
-0.191263	21.5409	13.8435	0.0456677	-21.7322	
-0.198094	21.3969	13.8099	0.0544457	-21.595	
-0.259568	21.2391	13.8301	0.0632237	-21.4987	
-0.321043	21.1225	13.7627	0.0723152	-21.4435	
-0.368856	20.951	13.7964	0.0814067	-21.3198	
-0.259568	20.7795	13.7897	0.0911253	-21.039	
-0.4235	20.6285	13.7829	0.0995898	-21.052	
-0.252738	20.4502	13.7829	0.109935	-20.7029	
-0.327873	20.313	13.8099	0.119967	-20.6408	
-0.55328	20.1963	13.7829	0.13188	-20.7496	
-0.403009	20.0248	13.756	0.142853	-20.4279	
-0.539619	19.8671	13.7425	0.153512	-20.4067	
-0.403009	19.7299	13.7358	0.162603	-20.1329	
-0.450822	19.6201	13.7829	0.171068	-20.0709	
-0.471314	19.3937	13.7492	0.178905	-19.865	
-0.471314	19.2291	13.7358	0.186116	-19.7004	
-0.457653	19.1056	13.7021	0.194267	-19.5632	
-0.580602	18.9478	13.7358	0.201791	-19.5284	
-0.806008	18.79	13.7021	0.209942	-19.596	
-0.55328	18.7077	13.7492	0.217779	-19.261	
-0.655737	18.5087	13.6617	0.226871	-19.1645	
-0.512297	18.4401	13.6549	0.236276	-18.9524	
-0.532788	18.2824	13.6549	0.246308	-18.8151	
-0.635246	18.1932	13.6011	0.255399	-18.8284	
-0.594263	18.0834	13.6482	0.266058	-18.6777	
-0.519127	17.9668	13.6752	0.27515	-18.4859	
-0.648907	17.8776	13.628	0.282987	-18.5265	
-0.601093	17.7816	13.628	0.289571	-18.3827	
-0.648907	17.7198	13.628	0.296154	-18.3687	
-0.662568	17.6924	13.6078	0.30117	-18.355	
-0.68989	17.6169	13.6482	0.308067	-18.3068	
-0.676229	17.5689	13.6482	0.313397	-18.2451	
-0.765025	17.5826	13.6145	0.318413	-18.3476	
-0.683059	17.5277	13.628	0.321861	-18.2108	
-0.621585	17.5826	13.6752	0.325937	-18.2042	
-0.710381	17.5072	13.6213	0.330953	-18.2175	
-0.765025	17.4866	13.6752	0.336282	-18.2516	
-0.724042	17.4729	13.6415	0.341612	-18.1969	
-0.69672	17.4797	13.6482	0.347255	-18.1764	
-0.819669	17.4729	13.6549	0.351957	-18.2925	
-0.744534	17.3905	13.6482	0.353525	-18.1351	
-0.792347	17.4043	13.6617	0.355092	-18.1966	
-0.792347	17.3151	13.6617	0.356973	-18.1074	
-0.676229	17.3014	13.6213	0.359481	-17.9776	
-0.771856	17.2671	13.6684	0.36387	-18.0389	
-0.744534	17.1985	13.6886	0.366378	-17.943	
-0.771856	17.1093	13.6684	0.368259	-17.8811	
-0.655737	17.0887	13.6819	0.369513	-17.7444	
-0.594263	16.9995	13.7156	0.370767	-17.5938	
-0.710381	16.8966	13.6752	0.370454	-17.607	
-0.771856	16.8417	13.7088	0.367946	-17.6136	
-0.642076	16.78	13.7088	0.365438	-17.4221	
-0.648907	16.6496	13.6819	0.361676	-17.2985	
-0.744534	16.5879	13.7156	0.35666	-17.3324	
-0.676229	16.4644	13.7223	0.353525	-17.1406	
-0.587432	16.3684	13.7223	0.351644	-16.9558	
-0.717212	16.2929	13.7088	0.35039	-17.0101	
-0.703551	16.1694	13.7156	0.348195	-16.873	
-0.669398	16.0528	13.7425	0.347255	-16.7222	
-0.69672	15.9293	13.7021	0.347882	-16.626	
-0.765025	15.7921	13.7425	0.347568	-16.5571	
-0.730873	15.6961	13.7627	0.346941	-16.4269	
-0.648907	15.6138	13.7492	0.348822	-16.2627	
-0.778686	15.5108	13.7762	0.351957	-16.2895	
-0.860652	15.5314	13.756	0.355092	-16.3921	
-0.819669	15.3874	13.8166	0.357914	-16.207	
-0.799178	15.3736	13.7492	0.359795	-16.1728	
-0.860652	15.3736	13.7762	0.363557	-16.2343	
-0.935788	15.3942	13.7694	0.367319	-16.33	
-0.901635	15.3325	13.7964	0.371708	-16.2341	
-0.908466	15.2913	13.8166	0.376724	-16.1998	
-0.812839	15.2021	13.8839	0.382053	-16.015	
-0.840161	15.161	13.8503	0.388323	-16.0011	
-1.07923	15.1404	13.857	0.39522	-16.2196	
-0.922127	15.0306	13.8705	0.402431	-15.9528	
-0.922127	14.9826	13.9244	0.409641	-15.9047	
-1.02458	14.9277	13.8839	0.418733	-15.9523	
