C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DESKTOP\EFFORT\PATIENT 27\TRACINGS\ACQ 3\EFFORT27-SBT_POSTEEXT_OLD.ACQ
5.000000 msec/sample
5 channels
Paw
cmH2O
Peso
cmH2O
Pgas
cmH2O
Flow
L/s
PL
cmH2O
CH1	CH2	CH3	CH4	CH40	
-0.810683	18.1975	23.4149	-0.00720987	-19.0082	
-0.740998	18.1074	23.3808	-0.00836364	-18.8484	
-0.706155	18.1143	23.3603	-0.00894053	-18.8205	
-0.594659	17.9618	23.3739	-0.00720987	-18.5565	
-0.552847	17.9965	23.3535	-0.0126903	-18.5494	
-0.448319	17.9411	23.3603	-0.0124019	-18.3894	
-0.357728	17.8717	23.3739	-0.0178823	-18.2295	
-0.260169	17.8371	23.3261	-0.0222089	-18.0972	
-0.120798	17.7123	23.3125	-0.02942	-17.8331	
0.0185724	17.6846	23.3603	-0.0380733	-17.666	
0.192786	17.6222	23.3466	-0.0458613	-17.4294	
0.311251	17.5529	23.2852	-0.0536493	-17.2416	
0.50637	17.5252	23.2579	-0.0576875	-17.0188	
0.687552	17.4212	23.2784	-0.0585528	-16.7336	
0.875702	17.3796	23.292	-0.0545146	-16.5039	
0.903576	17.3103	23.2852	-0.0481688	-16.4067	
1.08476	17.234	23.2852	-0.0426884	-16.1493	
1.18232	17.1439	23.2784	-0.0328813	-15.9616	
1.27291	17.1093	23.2306	-0.0219205	-15.8364	
1.30078	17.04	23.2715	-0.0167285	-15.7392	
1.37047	17.0192	23.2579	-0.0112481	-15.6487	
1.41925	16.9498	23.2784	-0.00547921	-15.5306	
1.48893	16.8667	23.2579	-0.00374855	-15.3777	
1.43318	16.9083	23.2442	-0.00259477	-15.4751	
1.48893	16.8528	23.2647	-0.00432543	-15.3639	
1.43318	16.7974	23.2511	-0.00490232	-15.3642	
1.37047	16.7835	23.2374	-0.00432543	-15.413	
1.30775	16.7211	23.2852	-0.00663298	-15.4134	
1.32169	16.7419	23.2784	-0.00692143	-15.4202	
1.22413	16.728	23.2784	-0.00922897	-15.5039	
1.18929	16.6379	23.2647	-0.00980586	-15.4486	
1.18232	16.6657	23.2784	-0.00749831	-15.4833	
1.16838	16.5963	23.2784	-0.0103827	-15.428	
1.21019	16.5894	23.2442	-0.0126903	-15.3792	
1.21716	16.5478	23.2511	-0.0173054	-15.3307	
1.19625	16.6102	23.2306	-0.0181707	-15.4139	
1.18929	16.5409	23.2169	-0.0230743	-15.3516	
1.21716	16.5478	23.1965	-0.0250934	-15.3307	
1.22413	16.5963	23.2169	-0.026824	-15.3722	
1.2311	16.5686	23.1965	-0.0291316	-15.3375	
1.22413	16.534	23.1896	-0.0297085	-15.3098	
1.21716	16.5825	23.2374	-0.0274009	-15.3653	
1.27291	16.5617	23.2101	-0.0299969	-15.2888	
1.16838	16.5617	23.1282	-0.0256702	-15.3933	
1.20322	16.6241	23.1965	-0.0224974	-15.4208	
1.13354	16.6726	23.176	-0.0213436	-15.539	
1.13354	16.6726	23.2306	-0.0175938	-15.539	
1.05688	16.735	23.2101	-0.0149978	-15.6781	
0.994167	16.7072	23.2374	-0.0126903	-15.7131	
1.00114	16.7696	23.2442	-0.0109596	-15.7685	
0.896608	16.7766	23.2238	-0.00922897	-15.88	
0.861765	16.8389	23.2306	-0.00922897	-15.9772	
0.854796	16.9291	23.2306	-0.00634454	-16.0743	
0.7433	16.9013	23.2306	-0.00461388	-16.158	
0.673615	16.9568	23.2442	-0.0060561	-16.2832	
0.680583	16.9706	23.2784	-0.00519076	-16.2901	
0.617866	16.9984	23.3125	-0.00461388	-16.3805	
0.576055	17.0815	23.3193	-0.00288322	-16.5055	
0.562118	17.0677	23.2852	-0.00374855	-16.5056	
0.471527	17.0885	23.3466	-0.00576765	-16.6169	
0.478496	17.0677	23.3398	-0.00259477	-16.5892	
0.380936	17.1093	23.3466	-0.00259477	-16.7283	
0.394873	17.1023	23.3808	-0.001441	-16.7075	
0.40881	17.1301	23.3603	0.000578104	-16.7213	
0.346093	17.1023	23.3876	-0.000287227	-16.7562	
0.360031	17.1578	23.4081	0.00028966	-16.7978	
0.366999	17.0885	23.3944	-0.00230633	-16.7215	
0.40881	17.0885	23.4149	-0.00374855	-16.6797	
0.436684	17.0677	23.3739	-0.00403699	-16.631	
0.450621	17.0885	23.449	-0.00692143	-16.6379	
0.464559	17.0677	23.4217	-0.00576765	-16.6031	
0.527275	17.033	23.4285	-0.00663298	-16.5057	
0.624835	17.04	23.449	-0.0080752	-16.4151	
0.638772	16.9984	23.4422	-0.0080752	-16.3596	
0.708457	16.9984	23.4217	-0.0100943	-16.2899	
0.7433	17.033	23.3808	-0.0121134	-16.2897	
0.833891	17.0122	23.449	-0.014421	-16.1783	
0.966293	17.0122	23.4285	-0.0164401	-16.0459	
1.07082	16.9706	23.4285	-0.0175938	-15.8998	
1.12657	16.9914	23.4422	-0.0167285	-15.8649	
1.22413	17.0192	23.4695	-0.0170169	-15.795	
1.29381	17.0538	23.4012	-0.0178823	-15.76	
1.34956	16.9914	23.4422	-0.0170169	-15.6419	
1.48196	17.0192	23.4354	-0.0164401	-15.5372	
1.51681	17.0954	23.4285	-0.0126903	-15.5786	
1.61437	17.0607	23.4695	-0.0132672	-15.4464	
1.57256	17.1093	23.4354	-0.00894053	-15.5367	
1.6074	17.1162	23.4558	-0.00865209	-15.5088	
1.52378	17.1301	23.449	-0.00547921	-15.6063	
1.54468	17.1924	23.4831	-0.00980586	-15.6478	
1.50984	17.1994	23.49	-0.00836364	-15.6895	
1.40531	17.2618	23.5104	-0.00865209	-15.8565	
1.35653	17.3034	23.5241	-0.00865209	-15.9468	
1.29381	17.3241	23.4968	-0.0109596	-16.0303	
1.252	17.4212	23.4695	-0.0106712	-16.1692	
1.20322	17.4281	23.5173	-0.0109596	-16.2249	
1.18929	17.4974	23.5651	-0.0112481	-16.3081	
1.18929	17.5529	23.5309	-0.0158632	-16.3636	
1.08476	17.5945	23.5173	-0.0152863	-16.5097	
1.11263	17.6222	23.5378	-0.0178823	-16.5096	
1.0081	17.7054	23.5651	-0.0193245	-16.6973	
1.07082	17.6846	23.5378	-0.0196129	-16.6138	
1.05688	17.7123	23.5651	-0.0196129	-16.6554	
1.03598	17.7886	23.5582	-0.0213436	-16.7526	
1.04295	17.8371	23.5104	-0.0213436	-16.7941	
0.973261	17.844	23.5104	-0.0187476	-16.8707	
0.959324	17.9757	23.5378	-0.0175938	-17.0164	
0.945387	18.0173	23.5855	-0.0147094	-17.0719	
0.945387	18.0242	23.5378	-0.014421	-17.0788	
0.910545	18.0797	23.5514	-0.0112481	-17.1691	
0.840859	18.0797	23.5651	-0.00922897	-17.2388	
0.826922	18.149	23.5582	-0.00720987	-17.3221	
0.771174	18.1837	23.5173	-0.0080752	-17.4125	
0.778143	18.253	23.5378	-0.00749831	-17.4748	
0.715426	18.3431	23.5582	-0.00634454	-17.6277	
0.715426	18.4193	23.5582	-0.00547921	-17.7039	
0.673615	18.4609	23.5582	-0.00432543	-17.7873	
0.673615	18.5441	23.5309	-0.00317166	-17.8705	
0.576055	18.6273	23.5378	-0.00288322	-18.0512	
0.548181	18.6273	23.5446	-0.00317166	-18.0791	
0.499401	18.7312	23.5719	-0.00288322	-18.2318	
0.443653	18.7728	23.5651	0.00230876	-18.3292	
0.366999	18.8075	23.5582	0.0051932	-18.4405	
0.304282	18.8144	23.5651	0.00865452	-18.5101	
0.255503	18.9184	23.5446	0.0144234	-18.6629	
0.213691	18.9253	23.5924	0.0204807	-18.7116	
0.178849	18.9461	23.5787	0.0227882	-18.7673	
0.0603836	19.0224	23.5719	0.023942	-18.962	
0.0255409	18.9946	23.5924	0.029134	-18.9691	
-0.0859556	19.0709	23.5582	0.0308647	-19.1568	
-0.148672	19.0709	23.6197	0.0299993	-19.2196	
-0.232295	19.064	23.6128	0.029134	-19.2962	
-0.260169	19.1055	23.6128	0.0259611	-19.3657	
-0.329854	19.1333	23.5992	0.0207691	-19.4631	
-0.441351	19.1541	23.6333	0.0196154	-19.5954	
-0.448319	19.1887	23.6128	0.0190385	-19.637	
-0.469225	19.2372	23.6265	0.0132696	-19.7065	
-0.518005	19.2303	23.5992	0.00980829	-19.7483	
-0.545879	19.2719	23.5787	0.00923141	-19.8178	
-0.566784	19.2303	23.6128	0.00980829	-19.7971	
-0.552847	19.2858	23.5992	0.0100967	-19.8386	
-0.601627	19.265	23.5719	0.00865452	-19.8666	
-0.678281	19.2719	23.6265	0.0100967	-19.9502	
-0.678281	19.2996	23.5582	0.00692386	-19.9779	
-0.720092	19.258	23.5787	0.0072123	-19.9781	
-0.789778	19.3135	23.606	0.00634697	-20.1033	
-0.740998	19.3135	23.6128	0.0051932	-20.0545	
-0.77584	19.2927	23.5582	0.00317409	-20.0685	
-0.789778	19.2719	23.5514	0.00259721	-20.0617	
-0.77584	19.265	23.6197	0.00144343	-20.0408	
-0.810683	19.2788	23.5651	0.000578104	-20.0895	
-0.810683	19.2719	23.5582	0.00028966	-20.0826	
-0.782809	19.2164	23.5855	0.00028966	-19.9993	
-0.768872	19.2719	23.5378	-0.00403699	-20.0408	
-0.740998	19.2511	23.5855	-0.00374855	-19.9921	
-0.761903	19.2372	23.5992	-0.00692143	-19.9991	
-0.664344	19.2026	23.5855	-0.00490232	-19.8669	
-0.63647	19.2026	23.5924	-0.0060561	-19.8391	
-0.601627	19.1957	23.5651	-0.00663298	-19.7973	
-0.518005	19.1471	23.5446	-0.00865209	-19.6651	
-0.497099	19.1333	23.606	-0.0112481	-19.6304	
-0.413477	19.1194	23.5651	-0.0121134	-19.5329	
-0.329854	19.1055	23.6128	-0.0147094	-19.4354	
-0.239263	19.064	23.5309	-0.014421	-19.3032	
-0.176547	19.0501	23.5719	-0.0132672	-19.2266	
-0.11383	19.0154	23.5378	-0.0112481	-19.1293	
-0.051113	18.96	23.5582	-0.0112481	-19.0111	
0.039478	18.8976	23.5514	-0.00634454	-18.8581	
0.102195	18.9184	23.5309	-0.00836364	-18.8162	
0.157943	18.8352	23.5378	-0.00778676	-18.6773	
0.276408	18.8006	23.5309	-0.00922897	-18.5241	
0.283377	18.752	23.49	-0.0100943	-18.4687	
0.360031	18.6827	23.4831	-0.0138441	-18.3227	
0.471527	18.6273	23.5104	-0.0147094	-18.1557	
0.534244	18.5718	23.49	-0.0184592	-18.0376	
0.701489	18.5372	23.4831	-0.0236511	-17.8357	
0.799048	18.4678	23.4695	-0.0282662	-17.6688	
0.98023	18.3985	23.449	-0.0357658	-17.4183	
1.1196	18.35	23.4422	-0.0415346	-17.2304	
1.28685	18.246	23.4354	-0.0493226	-16.9592	
1.45409	18.1975	23.3876	-0.0504764	-16.7434	
1.55862	18.1143	23.449	-0.0530724	-16.5557	
1.7398	18.0866	23.4012	-0.0507648	-16.3468	
1.83039	18.0312	23.3193	-0.0461497	-16.2008	
1.96976	17.9549	23.333	-0.0415346	-15.9852	
2.01157	17.844	23.3398	-0.0366311	-15.8324	
2.03945	17.8371	23.3603	-0.0288431	-15.7976	
2.07429	17.7955	23.3466	-0.0250934	-15.7212	
1.96976	17.7054	23.3808	-0.0227858	-15.7356	
1.90008	17.6915	23.2988	-0.0219205	-15.7914	
1.81645	17.6499	23.3261	-0.0274009	-15.8335	
1.75374	17.5598	23.333	-0.0279778	-15.8061	
1.71193	17.5321	23.3466	-0.0288431	-15.8202	
1.6074	17.5252	23.3466	-0.0349004	-15.9178	
1.60043	17.4489	23.3057	-0.0415346	-15.8485	
1.55165	17.4836	23.3398	-0.0484573	-15.9319	
1.46803	17.4143	23.3398	-0.0519186	-15.9462	
1.42622	17.3657	23.3466	-0.0542261	-15.9395	
1.35653	17.2687	23.3193	-0.0579759	-15.9122	
1.34259	17.2964	23.333	-0.0611488	-15.9538	
1.34259	17.2826	23.2784	-0.0637448	-15.94	
1.31472	17.2756	23.2442	-0.0654754	-15.9609	
1.31472	17.2132	23.2715	-0.0666292	-15.8985	
1.30078	17.2271	23.2579	-0.0663408	-15.9263	
1.30775	17.1994	23.2169	-0.065187	-15.8916	
1.21716	17.1855	23.2238	-0.0683599	-15.9684	
1.24503	17.137	23.2374	-0.0672061	-15.892	
1.28685	17.1509	23.2579	-0.0686483	-15.864	
1.2311	17.1647	23.2374	-0.0646101	-15.9336	
1.18929	17.1786	23.1828	-0.0591297	-15.9893	
1.18929	17.1717	23.1692	-0.0562453	-15.9824	
1.14051	17.1717	23.2033	-0.0524955	-16.0311	
1.06385	17.1439	23.2442	-0.044996	-16.0801	
1.02901	17.1855	23.1555	-0.0412462	-16.1565	
0.987199	17.1924	23.1896	-0.0349004	-16.2052	
0.938419	17.2479	23.1896	-0.0282662	-16.3095	
0.861765	17.241	23.2101	-0.0213436	-16.3792	
0.764205	17.2826	23.176	-0.0170169	-16.5184	
0.687552	17.3519	23.1828	-0.0126903	-16.6643	
0.624835	17.3519	23.1965	-0.00894053	-16.727	
0.569087	17.3103	23.2033	-0.00720987	-16.7412	
0.534244	17.4212	23.1965	-0.00576765	-16.8869	
0.485464	17.3935	23.1828	-0.00288322	-16.908	
0.40881	17.4697	23.176	-0.00403699	-17.0609	
0.332156	17.4766	23.2033	-0.00201789	-17.1445	
0.255503	17.4697	23.2511	-0.00230633	-17.2142	
0.206723	17.539	23.2579	0.00028966	-17.3323	
0.164912	17.4905	23.2442	0.00375098	-17.3256	
0.1231	17.5529	23.2715	0.00663542	-17.4298	
0.0743206	17.5044	23.2442	0.00807763	-17.43	
0.039478	17.5321	23.2511	0.0124043	-17.4926	
0.0116038	17.5044	23.2784	0.0135581	-17.4928	
-0.051113	17.4905	23.2579	0.0150003	-17.5416	
-0.0580815	17.4628	23.2579	0.0152887	-17.5209	
-0.0998927	17.4558	23.292	0.011539	-17.5557	
-0.0998927	17.4281	23.333	0.0100967	-17.528	
-0.120798	17.3865	23.292	0.00692386	-17.5073	
-0.148672	17.4143	23.2852	0.00317409	-17.5629	
-0.127767	17.338	23.333	1.21691E-006	-17.4658	
-0.11383	17.2964	23.3535	-0.00461388	-17.4103	
