0.0	-10.898	-0.059
0.0005	-10.898	-0.058
0.001	-10.898	-0.068
0.0015	-10.898	-0.076
0.002	-10.898	-0.088
0.0025	-10.898	-0.087
0.003	-10.898	-0.072
0.0035	-10.898	-0.050
0.004	-10.898	-0.053
0.0045	-10.898	-0.056
0.005	-10.898	-0.048
0.0055	-10.898	-0.057
0.006	-10.898	-0.030
0.0065	-10.898	-0.015
0.007	-10.898	-0.001
0.0075	-10.898	0.029
0.008	-10.898	0.023
0.0085	-10.898	0.027
0.009	-10.898	0.014
0.0095	-10.898	0.034
0.01	-10.898	0.046
0.0105	-10.898	0.049
0.011	-10.898	0.031
0.0115	-10.898	0.014
0.012	-10.898	0.006
0.0125	-10.898	0.007
0.013	-10.898	0.013
0.0135	-10.898	0.009
0.014	-10.898	0.004
0.0145	-10.898	-0.008
0.015	-10.898	-0.025
0.0155	-10.898	-0.035
0.016	-10.898	-0.069
0.0165	-10.898	-0.079
0.017	-10.898	-0.072
0.0175	-10.898	-0.077
0.018	-10.898	-0.082
0.0185	-10.898	-0.083
0.019	-10.898	-0.079
0.0195	-10.898	-0.064
0.02	-10.898	-0.045
0.0205	-10.898	-0.038
0.021	-10.898	-0.049
0.0215	-10.898	-0.054
0.022	-10.898	-0.064
0.0225	-10.898	-0.058
0.023	-10.898	-0.039
0.0235	-10.898	-0.033
0.024	-10.898	-0.012
0.0245	-10.898	0.013
0.025	-10.898	0.001
0.0255	-10.898	-0.004
0.026	-10.898	0.002
0.0265	-10.898	0.024
0.027	-10.898	0.043
0.0275	-10.898	0.030
0.028	-10.898	0.013
0.0285	-10.898	0.007
0.029	-10.898	0.031
0.0295	-10.898	0.015
0.03	-10.898	0.013
0.0305	-10.898	0.002
0.031	-10.898	0.017
0.0315	-10.898	-0.016
0.032	-10.898	-0.024
0.0325	-10.898	-0.050
0.033	-10.898	-0.078
0.0335	-10.898	-0.071
0.034	-10.898	-0.067
0.0345	-10.898	-0.072
0.035	-10.898	-0.069
0.0355	-10.898	-0.072
0.036	-10.898	-0.071
0.0365	-10.898	-0.062
0.037	-10.898	-0.054
0.0375	-10.898	-0.054
0.038	-10.898	-0.062
0.0385	-10.898	-0.055
0.039	-10.898	-0.034
0.0395	-10.898	-0.016
0.04	-10.898	0.004
0.0405	-10.898	-0.002
0.041	-10.898	0.017
0.0415	-10.898	0.002
0.042	-10.898	0.000
0.0425	-10.898	0.011
0.043	-10.898	0.017
0.0435	-10.898	0.043
0.044	-10.898	0.040
0.0445	-10.898	0.041
0.045	-10.898	0.032
0.0455	-10.898	0.036
0.046	-10.898	0.032
0.0465	-10.898	0.019
0.047	-10.898	0.013
0.0475	-10.898	0.001
0.048	-10.898	-0.038
0.0485	-10.898	-0.062
0.049	-10.898	-0.068
0.0495	-10.898	-0.074
0.05	-10.898	-0.091
0.0505	-10.898	-0.057
0.051	-10.898	-0.058
